Ent1,Ent2,Label,Resnik (avg),Resnik (max),Resnik (BMA),Lin (avg),Lin (max),Lin (BMA),Jiang-Conrath (avg),Jiang-Conrath (max),Jiang-Conrath (BMA),SimGIC,SimUI
Q16850,P48449,1,0.7773514797503863,1.8061161955146574,1.2948623447400553,0.09872354934312809,0.2425759919890206,0.1863072036667307,0.08621843575719106,0.17542266135903578,0.12292922355203559,0.01810924525888995,0.125
O75865,Q8IUR0,1,0.9353191044254094,0.9353191044254094,0.9353191044254094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q16526,O00327,1,0.789958275038195,7.213915572679691,2.484148121422953,0.17909285392824806,1.0,0.6001547464626863,0.15232492755838142,1.0,0.4943950603195065,0.22187488499627617,0.32142857142857145
P07992,O60671,1,1.1753423449220268,6.863258701066521,4.0736310983349195,0.1974720759750076,1.0,0.7096948672115859,0.15501661612219225,1.0,0.46978336955954003,0.21704390621045086,0.3783783783783784
P00480,P00966,1,0.7027827380834716,6.982803851716304,2.811327159726644,0.13655378065046772,1.0,0.5169544928784928,0.1448650847720911,1.0,0.43306497152950163,0.14459789085632488,0.2647058823529412
P25789,P35998,1,0.5284862185936569,2.8224337792350545,1.6071837271162328,0.15482295146995478,1.0,0.5151839982850555,0.16586402231118275,1.0,0.37104254879719323,0.042774938175044484,0.14285714285714285
P25789,P49720,1,2.651041327601135,8.486881248492578,4.744863628249576,0.4941571943460617,1.0,1.0,0.43512766899282884,1.0,1.0,1.0,1.0
P25789,P17980,1,0.6606077732420711,2.8224337792350545,1.7348052146079778,0.2113083322857603,1.0,0.5899471021614735,0.20852197743197784,1.0,0.41991010922397076,0.05252163863637864,0.15625
P35250,P35249,1,1.6241320369623145,8.928714000771619,5.021046477351239,0.31507803578395355,1.0,1.0,0.30431967670374843,1.0,1.0,1.0,1.0
P35250,P12004,1,0.6386107825885272,5.154676738317375,2.5698546039088264,0.1455954824287031,1.0,0.5612635691433522,0.13125830641536604,1.0,0.37951864110641714,0.05701964738942558,0.12698412698412698
P35250,O75943,1,1.15428415920118,8.928714000771619,3.824156609029629,0.2479264502187334,1.0,0.8081838540576005,0.257105859117732,1.0,0.7431724216483384,0.7145716669067144,0.8
P82673,P82650,1,3.0130360751418195,6.026072150283639,4.519554112712729,0.5,1.0,0.75,0.5481318144466979,1.0,0.7740659072233489,0.5674576454992251,0.42857142857142855
P82673,P51398,1,1.466711141114313,6.026072150283639,3.813746001257127,0.3305648510826063,1.0,0.8305648510826062,0.3499859736988884,1.0,0.7999767292904684,0.2665643064328788,0.3181818181818182
P82673,Q9Y399,1,3.0130360751418195,6.026072150283639,4.519554112712729,0.5,1.0,0.75,0.5481318144466979,1.0,0.7740659072233489,0.5674576454992251,0.42857142857142855
P43686,P35998,1,1.5567552951543508,10.027326289439728,4.697709448948187,0.28558696852949367,1.0,0.9212496190645908,0.28680394651331986,1.0,0.912606329765584,0.8267218573562954,0.9
P43686,P49720,1,0.5826645145399536,2.8224337792350545,1.6178903265548015,0.17582067345028451,1.0,0.5367156139082598,0.18593147195642165,1.0,0.3948686929754789,0.049654346817903275,0.15625
P43686,P17980,1,1.0535670701760018,5.674900124542137,3.2571744476089797,0.27664584685963245,1.0,0.8709083001072044,0.2948087736542869,1.0,0.8007330004498792,0.8592421836624984,0.9285714285714286
P43686,Q16186,1,0.24324474355979264,0.9353191044254094,0.49016280948718205,0.09982082651088955,1.0,0.30615633459513797,0.13824098794538217,1.0,0.32760322942260744,0.00789028129680681,0.07317073170731707
O95168,O43920,1,3.6596380441687586,7.319276088337517,5.489457066253138,0.5,1.0,0.75,0.5540272145442946,1.0,0.7770136072721473,0.9841474262275253,0.9
O95168,O43677,1,7.319276088337517,7.319276088337517,7.319276088337517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O95168,O95178,1,7.319276088337517,7.319276088337517,7.319276088337517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NW64,O60508,1,1.236612721733428,3.362067290287615,2.105065564619722,0.370545791551328,1.0,0.805020517725249,0.3078714415654989,1.0,0.7307351917313313,0.18484148577184187,0.42857142857142855
Q9NW64,P41223,1,0.3908653616873909,0.9353191044254094,0.604922056074013,0.14361520331859165,1.0,0.3671917908282597,0.1642300038936143,1.0,0.3679130088997534,0.013826792898985038,0.125
P31930,P14927,1,0.5388426464037337,0.9353191044254094,0.7370808754145716,0.3402006846686384,1.0,0.6701003423343193,0.34952377610414265,1.0,0.6747618880520714,0.012332566400856726,0.1111111111111111
P31930,O14957,1,1.4992057545852489,8.928714000771619,4.640885786540284,0.1808874102375398,1.0,0.5522185255938494,0.19700430263870622,1.0,0.45479155662931225,0.7368923877737167,0.6296296296296297
P31930,O14949,1,1.7857428001543236,8.928714000771619,5.357228400462971,0.2,1.0,0.6,0.2620377166267367,1.0,0.6310188583133683,0.7368923877737167,0.6296296296296297
Q99741,O43929,1,1.757292248059977,7.990444362178687,3.713920510920275,0.43701703244980916,1.0,0.9350080409282814,0.37140046610144645,1.0,0.9223572861718157,0.9040042127614816,0.9230769230769231
Q99741,Q7L590,1,1.2447094222793114,7.990444362178687,3.158157539025936,0.31299856687568156,1.0,0.788851578077237,0.23004503559586453,1.0,0.5855821250175777,0.354239592132099,0.43333333333333335
Q99741,Q13415,1,1.1660426760053653,7.990444362178687,2.9975088949900557,0.3013548015759647,1.0,0.7490121123180576,0.24784525980116326,1.0,0.6736657044861121,0.5698250470790011,0.631578947368421
Q99741,P25205,1,1.3527785151605545,7.990444362178687,3.222814486819338,0.32042637775846194,1.0,0.7649527385802743,0.24981152635069917,1.0,0.6879723639852389,0.6024997131263817,0.7058823529411765
P18206,P49023,1,0.9616264337419432,6.6951217792645235,2.954399654166508,0.18456370362840063,1.0,0.5999089461097296,0.14136505285818174,1.0,0.4642458689255201,0.21722021895078467,0.2903225806451613
Q96EB6,O43524,1,0.4257746674959832,4.68978820973841,2.4367120299397556,0.0910649608593368,1.0,0.5562687089373823,0.1096780305919035,1.0,0.3310908660393189,0.154495693248302,0.25301204819277107
P48556,P35998,1,0.45648514408694874,0.9353191044254094,0.6959021242561791,0.27709752584672387,1.0,0.6385487629233619,0.3087205310788821,1.0,0.654360265539441,0.0120602324318219,0.1
P48556,P49720,1,0.3117730348084698,0.9353191044254094,0.6235460696169396,0.3333333333333333,1.0,0.6666666666666666,0.4147158208167913,1.0,0.7073579104083957,0.03964716746592462,0.3
P48556,P17980,1,0.570606430108686,0.9353191044254094,0.7529627672670477,0.3997108361533553,1.0,0.6998554180766776,0.40446767193162647,1.0,0.7022338359658132,0.015705408811237404,0.1111111111111111
P48556,Q9UJX5,1,0.6235460696169396,0.9353191044254094,0.7794325870211745,0.4222664879998299,1.0,0.711133243999915,0.43304306543782295,1.0,0.7165215327189115,0.02557571052747812,0.2
P48556,Q16186,1,0.6435489649720306,0.9353191044254094,0.7894340346987201,0.31906480954334804,1.0,0.659532404771674,0.30082161941057217,1.0,0.6504108097052861,0.016895093828321973,0.17647058823529413
