Embedding Model,Vector Operation,Accuracy,Precision,Recall,F1 (class 0),F1 (class 1),F1 Average
DistMult,WL2,0.9915,0.9851,1,0.9901,0.9925,0.9914
DistMult,Hadamard,0.9915,0.9851,1,0.9901,0.9925,0.9914
DistMult,WL1,0.9915,0.9851,1,0.9901,0.9925,0.9914
DistMult,Average,0.9915,0.9851,1,0.9901,0.9925,0.9914
rdf2vec_id7,Average,0.9658,1,0.9394,0.9623,0.9688,0.9659
rdf2vec_id7,Hadamard,0.9573,1,0.9242,0.9533,0.9606,0.9574
TransD,Concatenation,0.9573,1,0.9242,0.9533,0.9606,0.9574
DistMult,Concatenation,0.9487,1,0.9091,0.9444,0.9524,0.9489
rdf2vec_id6,WL2,0.9402,1,0.8939,0.9358,0.944,0.9404
rdf2vec_id6,WL1,0.9402,1,0.8939,0.9358,0.944,0.9404
rdf2vec_id7,WL2,0.9316,1,0.8788,0.9273,0.9355,0.9319
rdf2vec_id2,Hadamard,0.9316,1,0.8788,0.9273,0.9355,0.9319
rdf2vec_id7,WL1,0.9316,1,0.8788,0.9273,0.9355,0.9319
rdf2vec_id5,Hadamard,0.9316,0.9833,0.8939,0.9259,0.9365,0.9319
rdf2vec_id3,Hadamard,0.9316,0.9833,0.8939,0.9259,0.9365,0.9319
rdf2vec_id6,Hadamard,0.9231,0.9831,0.8788,0.9174,0.928,0.9234
rdf2vec_id4,Hadamard,0.9231,1,0.8636,0.9189,0.9268,0.9234
rdf2vec_id3,Average,0.9231,1,0.8636,0.9189,0.9268,0.9234
rdf2vec_id1,Hadamard,0.9231,1,0.8636,0.9189,0.9268,0.9234
rdf2vec_id1,Average,0.9145,0.9828,0.8636,0.9091,0.9194,0.9149
rdf2vec_id7,Concatenation,0.9145,0.9828,0.8636,0.9091,0.9194,0.9149
rdf2vec_id5,WL1,0.9145,0.9667,0.8788,0.9074,0.9206,0.9149
rdf2vec_id5,WL2,0.9145,0.9667,0.8788,0.9074,0.9206,0.9149
rdf2vec_id1,Concatenation,0.9145,1,0.8485,0.9107,0.918,0.9148
rdf2vec_id2,Concatenation,0.906,0.9825,0.8485,0.9009,0.9106,0.9064
ConvE,Concatenation,0.906,1,0.8333,0.9027,0.9091,0.9063
TransE,Concatenation,0.906,1,0.8333,0.9027,0.9091,0.9063
rdf2vec_id4,Concatenation,0.906,1,0.8333,0.9027,0.9091,0.9063
rdf2vec_id2,Average,0.8974,0.9655,0.8485,0.8909,0.9032,0.8979
rdf2vec_id4,WL2,0.8974,0.9821,0.8333,0.8929,0.9016,0.8978
rdf2vec_id4,WL1,0.8974,0.9821,0.8333,0.8929,0.9016,0.8978
rdf2vec_id3,WL2,0.8974,1,0.8182,0.8947,0.9,0.8977
rdf2vec_id3,WL1,0.8974,1,0.8182,0.8947,0.9,0.8977
rdf2vec_id5,Average,0.8889,0.9492,0.8485,0.8807,0.896,0.8893
rdf2vec_id5,Concatenation,0.8889,0.9818,0.8182,0.885,0.8926,0.8892
rdf2vec_id1,WL1,0.8889,1,0.803,0.887,0.8908,0.8891
rdf2vec_id1,WL2,0.8889,1,0.803,0.887,0.8908,0.8891
RotatE,Concatenation,0.8889,1,0.803,0.887,0.8908,0.8891
rdf2vec_id3,Concatenation,0.8803,0.9643,0.8182,0.875,0.8852,0.8808
rdf2vec_id6,Concatenation,0.8803,0.9643,0.8182,0.875,0.8852,0.8808
rdf2vec_id2,WL1,0.8803,1,0.7879,0.8793,0.8814,0.8805
rdf2vec_id2,WL2,0.8718,0.9811,0.7879,0.8696,0.8739,0.872
rdf2vec_id4,Average,0.8632,0.9464,0.803,0.8571,0.8689,0.8637
rdf2vec_id6,Average,0.8632,0.963,0.7879,0.8596,0.8667,0.8636
TransD,WL1,0.8291,0.8833,0.803,0.8148,0.8413,0.8297
TransD,WL2,0.8205,0.8947,0.7727,0.8108,0.8293,0.8212
TransD,Hadamard,0.7949,0.875,0.7424,0.7857,0.8033,0.7956
TransE,WL2,0.7949,0.8387,0.7879,0.7736,0.8125,0.7955
TransE,WL1,0.7949,0.8387,0.7879,0.7736,0.8125,0.7955
TransE,Hadamard,0.7265,0.8148,0.6667,0.7193,0.7333,0.7272
RotatE,Hadamard,0.7265,0.8864,0.5909,0.7419,0.7091,0.7234
RotatE,Average,0.7179,0.8367,0.6212,0.7227,0.713,0.7172
TransD,Average,0.7179,0.8367,0.6212,0.7227,0.713,0.7172
ConvE,Average,0.7009,0.878,0.5455,0.7244,0.6729,0.6954
TransE,Average,0.6752,0.75,0.6364,0.6607,0.6885,0.6764
ConvE,WL2,0.6752,0.8043,0.5606,0.6885,0.6607,0.6728
ConvE,WL1,0.641,0.7609,0.5303,0.6557,0.625,0.6384
RotatE,WL1,0.6154,0.6981,0.5606,0.6087,0.6218,0.6161
RotatE,WL2,0.5983,0.6863,0.5303,0.5983,0.5983,0.5983
ConvE,Hadamard,0.5641,0.6596,0.4697,0.5785,0.5487,0.5617
