Q16850	-0.017332705,-0.085151486,-0.041823506,0.13521734,-0.122247845,0.19401431,0.3700021,0.504428,0.052599832,-0.5075825,0.38723683,0.13566235,0.019090807,-0.82050943,0.05232239,0.25792986,-0.49301738,-0.06510546,0.14182164,-0.3840667,-0.32511836,-0.4373522,0.0020119862,0.49931404,-0.21662134,-0.8384725,0.59556234,-0.76249737,0.18845512,0.41497034,0.09093937,-0.29518452,-0.12784344,0.32449698,0.57671785,-0.0077175926,0.08220996,-0.41556883,0.21422355,0.24038382,-0.042910866,0.027818603,-1.1212962,0.39230466,0.14523926,-0.48196688,-0.49787426,-0.40455535,0.16679868,1.1436039,-0.22970873,0.6134599,-0.23098604,0.86707586,0.27792588,-0.706576,-0.62665665,-0.34242135,-0.20857677,0.10671217,0.22508785,-0.80701923,0.2809118,0.17630443,-0.077410474,0.45336348,0.69946694,0.01508164,0.56725115,-0.0863411,-0.42562366,0.11208538,0.21173283,1.3572106,-0.317494,0.412917,0.013221136,0.13000043,0.0059780027,-0.37012285,0.4396235,0.68681425,-0.198292,0.5182961,-0.07679425,-0.1534644,0.38678598,-0.27695352,-0.9452546,-0.41968814,0.87100023,0.20605284,0.03969629,0.2197244,-0.3214901,0.72662365,0.29109618,-0.7154301,-0.062449653,0.2016453,0.320907,0.32682407,-0.24232388,-0.20207797,-0.24544872,-0.19244288,-0.57296354,0.016724022,-0.08712766,0.19763923,-0.57459235,0.121130124,-0.4420188,-0.28142163,-0.5218109,-0.24293004,0.62800175,-0.11793166,-0.7712174,0.2541591,-0.3384707,-0.19992654,-0.87607497,0.44340193,-0.019725988,0.40048176,0.4978927,-0.34922445,0.26893547,0.24319503,-0.27396387,-0.25226346,-0.20400806,-0.41052055,0.64076555,-0.320644,-0.19408509,0.32721767,-0.2959434,-0.004909683,-0.07736367,-0.3777529,-0.2035368,-0.16951083,0.30218437,0.120894425,0.3947887,0.3633151,-0.7096987,0.47271556,-0.22222486,0.5843973,0.14157538,-0.3359943,-0.15800042,0.55646306,-0.91834396,0.6294883,-0.7880752,-0.72233605,-0.059611063,0.46813756,0.43783817,-0.08980863,0.12204016,-0.59446347,-0.4504743,-0.37420198,-0.19964041,0.38025832,0.1151607,-0.3152125,-0.21663623,0.95941937,0.044488925,-0.13202958,-0.7857007,0.616665,-0.47718936,-0.26747036,-0.46445432,0.21200241,0.5788406,-0.42500928,-0.114327505,-0.25781664,0.42622948,0.48740166,0.37047988,0.5010306,-0.46747687,0.48388475,-0.6611197,0.056406755,-0.043544456,-0.12721908,0.16448368,-0.055594802,0.38800263,0.30875063
O75865	0.08272692,-0.3292555,0.20739728,-0.46753818,0.27622142,0.504645,0.20960781,-0.34492013,-0.43772385,-0.17771997,0.3566147,-0.45402148,0.22951037,-0.45830896,-0.14255321,-0.2818144,-0.44002149,-0.48929974,-0.31462848,-0.49096602,-0.37219593,0.87898904,-0.116787516,0.7061285,-0.7195365,0.04159078,-0.620672,-0.6987288,0.10738805,0.23208028,-0.097616285,0.0029767896,-0.40874884,0.4679338,0.15311834,-0.56635946,-0.07403465,-0.08416066,0.047006745,0.28745097,0.24954951,0.27400497,-0.2362816,0.40162382,0.21221063,-0.26331297,-0.43285385,-0.18205647,-0.4154179,0.6542704,-0.24332571,0.18782517,-0.0024215966,-0.011887043,-0.27886733,-0.019537214,-0.7299679,-0.082446635,-0.609118,-0.47834402,0.5114132,0.19880354,0.11152381,0.63372797,-0.010677068,-0.13307801,-0.2513601,-0.17991313,0.10006312,-0.47344413,0.13225026,-0.079450384,0.09780992,0.74208665,0.19950752,0.34729823,0.3452492,0.30305502,-0.48262691,-0.30736166,-0.26476836,0.42175063,0.10018217,0.36018556,-0.2422986,0.11780599,-0.16928859,0.4030562,-0.20319495,-0.369989,0.57378286,-0.24738283,0.0978856,0.5177302,-0.462047,0.5257465,0.24253389,-0.21415798,0.07797918,0.10647471,-0.3336836,0.79696923,-0.48443377,-0.083988495,0.6673778,-0.11612153,-0.88171583,-0.1679001,0.6835539,0.05207033,0.26533777,0.3785884,0.24805291,0.20108032,-0.29578876,0.2676821,-0.2792197,0.28238922,0.1535632,-0.009711674,-0.29509592,-0.22330499,0.074601844,0.09283697,-0.26937243,0.113546066,-0.21196368,0.039074976,0.23331796,0.078048974,0.53911394,-0.251581,0.026851226,-0.5753837,0.67782605,-0.26413515,0.5963455,-0.3014886,-0.7888165,0.3286,0.3625601,-0.14470857,-0.49986434,-0.17776084,0.22438619,0.514124,0.28081447,0.31780463,-0.6525246,0.4949325,-0.35096148,0.55688876,-0.5943156,0.5633286,0.30934256,0.244723,-0.76473635,-0.012225098,-0.70319796,-0.43812385,0.06766207,0.38134426,0.32591373,0.40399915,-0.18609877,-0.21010026,-0.4792345,-0.1358112,-0.19608924,0.018905126,0.118728094,-0.38574284,0.029786782,0.15364708,0.12465626,-0.43814775,0.24000138,0.52548206,-0.10988823,0.36019787,-0.26067334,-0.11053215,0.09474119,-0.25990233,0.19286785,-0.052342128,0.09471231,-0.12741426,0.33846688,0.6175235,-0.7237086,0.5100269,-0.008872266,-0.09071458,-0.08377067,0.09817422,-0.04157744,-0.082474716,-0.34754592,-0.19620623
Q16526	0.43559042,-1.0578921,-0.51815844,-0.13803059,-0.03414836,0.16671072,-0.10706348,0.10785588,-0.0087566385,0.23142241,-0.03129098,-0.16500811,0.21446928,-0.27888507,0.054939184,-0.8525991,-0.35395586,-0.15251519,0.04677216,0.18375579,-0.028364943,0.3330857,-0.18069273,0.70483184,-0.14950259,0.07377621,-0.048100952,-0.19585827,0.3468255,0.28334677,0.0015489273,-0.11065928,0.054191068,-0.13600972,0.32064724,-0.6955452,0.09749317,-0.33000958,-0.03319301,0.6581425,0.04732121,0.15572244,-0.39282352,-0.30941796,0.43283644,-0.46312124,-0.17385054,-0.58326197,0.44460627,0.59909946,-0.009118048,-0.5312562,-0.27997547,0.37381753,0.56738204,-0.055797797,-0.8653268,-0.057175722,-0.19752482,-0.29088283,0.87786263,0.23961648,-0.4420291,0.067493014,0.17319745,0.29832193,-0.13263139,-0.39203313,-0.21135393,-0.078833915,0.4605081,0.11761639,-0.0043773334,0.110421196,-0.22171739,-0.3252355,0.43741193,-0.039692257,-0.7619616,-0.6544688,0.15473805,-0.2097878,-0.48419532,0.58175415,0.40377754,-0.61444354,-0.20529541,-0.013883262,-0.060654514,0.35886607,0.15612921,0.031812724,-0.13290535,-0.20870513,-0.98763585,0.559315,0.35618913,0.5006225,-0.13953412,-0.220238,-0.50435466,-0.010104501,0.0015962381,-0.3661691,-0.14095286,0.20055056,-0.592068,0.5973993,-0.5095195,-0.20275919,0.58329946,0.515937,0.07255492,-0.16404808,-0.13028789,0.06382473,0.6653946,-0.25870577,-0.5861353,0.6712584,-0.0054138526,0.047056343,-0.34307876,0.3254741,-0.59247464,0.17337987,-0.25451046,-0.1325119,-0.15683712,0.14974639,0.2866553,-0.30181763,0.101353295,-0.22364143,-0.13137887,0.15379642,0.59265345,0.06476961,0.4689474,0.090541385,0.2710367,-0.16211559,0.27141064,0.07756312,-0.7316679,0.26833844,0.45880035,-0.42990068,0.11591632,-0.05469058,-0.09533635,-0.14869453,-0.095431454,-0.25641254,0.540874,0.04336857,0.1608531,0.2722806,-0.090137295,-0.92375,0.44860804,0.18170372,0.1508987,-0.07032547,-0.532552,-0.33366308,-0.009128205,-0.28261065,-0.66741824,0.28975144,0.46602008,-0.22780333,0.068357,0.011760412,0.15253864,0.15116721,0.08372815,0.2180626,-0.36706442,0.43125346,0.10556744,0.5523854,-0.18023382,-0.09584477,-0.4574142,-0.4019226,-0.11712407,-0.27294597,0.4264673,0.35119995,-0.97015345,0.35532984,-0.6234171,-0.4708543,-0.21107952,-0.25083545,0.1907906,0.3632931,0.17224294,0.1019986
P07992	0.8496397,-0.2679036,-0.98872066,-0.21298675,-0.07463232,0.40817893,0.20085244,-0.20120476,0.27093598,0.25004187,0.13414647,-0.23281497,0.17582558,-0.008784408,0.09367536,0.043271232,0.070439346,-0.0097799115,0.46178558,0.002389497,-0.21970017,0.6066495,0.25509608,-0.20031892,0.44402274,0.11248861,0.21167669,-0.6239729,0.5466926,0.15088955,-0.4259324,0.2623927,-0.16484155,-0.04943957,0.5736493,-0.308502,-0.600974,0.10987089,-0.4644602,0.76277864,0.005419292,-0.03865239,0.082916215,-0.084432855,-0.29708973,-0.15316689,0.27240685,0.30810073,-0.47249657,0.531463,-0.2493543,-0.6656562,-0.0032952097,0.3233552,0.40122655,-0.109767094,0.3108403,-0.12874532,-0.1241353,-0.03247947,-0.31290212,0.08944327,0.06434869,0.24287319,-0.14484528,0.6440369,-0.33197945,0.3752276,-0.51839393,-0.29772073,0.053988803,0.23138438,-0.1520984,0.31924438,-0.30263433,-0.2913958,0.66702396,0.01023947,-1.0259966,-0.316571,-0.9921058,0.06480675,-0.4635791,0.09071545,-0.015287223,-0.53996664,0.33516636,0.27932718,0.12616384,0.18982884,0.27205878,0.23941855,-0.19084609,-0.12309697,-1.1379179,0.4036101,-0.5147015,0.24454361,0.13295406,-0.23371945,-0.924,-0.3237615,-0.090554945,-0.32667568,0.35876212,-0.4569238,-0.33623528,0.96109396,-0.43093866,0.23679988,0.71264875,0.17127511,0.5204383,0.20986094,-0.06659146,0.14093004,0.4214448,-0.84191006,-0.039256062,0.10338659,0.4570017,-0.19564667,0.06160265,0.46129096,-0.98722184,-0.10790204,0.25175676,-0.49367085,0.0067411265,-0.5110758,0.06916702,-0.5164939,0.5700169,-0.04540076,-0.0937606,-0.24434817,0.632434,-0.29206434,0.2345531,0.090863325,-0.30537462,-0.0589638,-0.30443773,0.5278954,0.11745463,0.49861836,0.05658056,0.37801316,-0.6045217,0.007026047,0.13338165,0.3634663,0.23834066,0.61020494,0.86344314,0.1831298,0.6447002,-0.17642894,0.13482285,-0.6388234,0.091620326,-0.25969687,0.36938724,0.1762824,-0.46523425,-0.8473081,-0.19084904,-0.28337982,-0.6851703,-0.04325681,0.2606455,-0.083604306,0.091180295,0.15324306,0.17492853,0.2916633,0.05796328,0.31183133,-0.05734913,0.26871175,-0.018909482,0.10819411,-0.014971001,0.22036478,0.10922958,-0.6606344,-0.0850321,-0.19628242,0.45196643,0.28156912,-0.49525917,0.37349305,-0.30264997,-0.54465526,-0.26309788,-0.06503554,0.680486,0.50859994,-0.039190385,0.4686396
P00480	0.4014788,-0.85634565,-0.07674946,0.40757594,0.2243668,0.1782687,-0.00420975,0.7373794,-0.080042005,-0.19378483,0.13298619,0.49968588,-0.097174846,-0.36262068,0.21552616,0.20657684,-0.7881131,-0.10829399,0.19828156,-0.16809346,-0.092964895,-0.16066909,-0.1736866,0.36282963,0.41421312,-0.11885245,-0.09202182,-0.48050767,0.44893467,-0.12114996,0.28723565,-0.31271288,-0.39204866,-0.5164141,0.41949126,-0.34761417,0.32559603,0.0864572,-0.05077776,0.48107564,0.3532164,0.39664644,-1.0766772,0.038928475,-0.07771751,-0.059092015,-0.30080613,-0.14686847,0.5538053,0.5180687,0.16866075,-0.036579803,-0.6650055,-0.0051942603,0.22606151,-0.553828,-0.5727453,-0.7450827,0.37703186,-0.5066574,0.80158055,-0.69471514,-0.029133331,-0.1745872,-0.15366888,0.13401645,0.5835642,0.18325798,-0.18540655,-0.24083972,-0.05587825,-0.5847751,0.54154533,0.6918472,-0.6159003,-0.06811574,-0.2487214,0.18324496,-0.5605599,-0.9522071,-0.32137305,0.4786371,-0.25729015,0.41014293,-0.29757184,0.6980495,0.43916187,0.17776333,0.09100376,0.32656413,0.78308696,-0.06858288,0.27730265,0.121736236,0.022935927,1.1299489,0.118467696,-0.058080446,-0.36621368,0.023883874,-0.212864,-0.33225673,-0.47464943,-0.5768987,-0.3599438,0.02316409,-0.037676446,-0.24962886,0.17303911,0.1428991,0.3743931,0.7473397,-0.55598396,0.2495886,-0.49924806,-0.35298225,0.42543226,-0.06406128,-0.6268804,0.5546214,-0.3158885,0.010299566,-0.48183358,-0.25109407,-0.41748768,0.8741246,0.36173517,-0.3848244,0.5417796,0.37106198,0.32536656,-0.3817717,0.6135039,-0.26938286,0.023470478,0.6227594,0.096252814,-0.25410447,0.13346574,-0.033600792,0.025048329,-0.10812001,-0.93767506,-0.18497263,-0.06680599,0.5456056,0.22842053,-0.20922822,-0.3310982,0.74831855,-0.42091143,0.35737446,-0.17992507,-0.54642016,0.47897345,-0.2009168,-0.6832911,0.6292919,0.15293479,0.102478765,-0.38766775,0.5567743,0.13831846,0.22952336,0.49921948,0.079031,-0.2488384,-0.5506225,-0.43786106,-0.10522676,-0.35962352,0.014290483,0.25100175,0.30770907,0.19786432,0.024576344,-0.19089913,0.420531,-0.14915651,-0.061137356,-0.4114662,-0.0030929786,-0.04830239,-0.1971876,0.024206745,-0.115646616,0.5213541,0.31736392,-0.018850885,0.283185,-0.87682104,0.39180666,-0.016333308,-0.73201895,0.21598102,-0.27486318,0.14112727,-0.0498806,-0.0049850293,0.9467273
P25789	0.42801556,-0.58689183,0.087648235,-0.0006539889,0.2559043,0.38226444,0.16608869,-0.29079977,0.080200285,0.05725852,0.12190672,-0.00094952976,-0.083167784,0.085099496,-0.32974207,0.3268825,-0.40212467,-0.093042344,0.17746538,-0.25171497,-0.40098128,0.4613466,0.21228246,0.5772081,-0.07429163,0.045848146,-0.13464856,0.071903005,-0.040930267,0.19511221,-0.4907419,0.047496404,-0.23021619,-0.019237045,0.059483897,-0.55667037,0.004926934,-0.009708874,-0.41022068,-0.023959586,0.4759252,0.37896353,0.12105485,-0.00077862205,0.10863187,-0.82602906,0.22816956,0.08097096,-0.17421588,0.6081889,-0.15878418,0.308613,-0.18908006,0.2082901,0.33822623,0.6956207,-0.022101898,-0.50033647,-0.7447888,-0.36226863,0.3878865,-0.07899828,-0.034179248,-0.31966445,0.2535247,0.74702096,0.14980677,-0.22394012,-0.54087085,-0.14467812,0.21949346,0.10946724,0.11419366,0.71576357,-0.33562276,-0.37622476,0.1269735,-0.076883435,-0.6584666,-0.099667154,-0.30700248,0.30117348,-0.49733046,0.43640402,-0.09571796,-0.09877346,0.118517764,0.13439105,-0.4559151,0.10420016,0.21264009,0.1596802,0.08279269,-0.3167103,-0.05754012,1.1976734,-0.025981136,-0.14738414,-0.2227573,-0.016753413,-0.106903516,0.13361673,-0.21747956,-0.21320695,-0.11568299,0.4703218,-0.24272935,-0.26881543,-0.13731155,-0.06989935,0.03041861,-0.26342347,0.3624982,-0.06798093,0.2548551,0.20630443,0.22803849,0.22687487,-0.54777634,0.58005035,0.27036688,-0.27655053,-0.34901258,0.025080215,-0.19277625,0.002993475,-0.25701898,0.29944757,0.35084367,0.41991568,0.043809388,0.047287364,0.85304695,-0.32490316,-0.19070153,-0.14447926,0.71847034,0.43094262,-0.038058564,0.3087967,0.43592346,-0.047575276,-0.2724035,-0.09878514,0.0906768,1.1128125,0.44371936,0.11138362,-0.20810021,0.09398211,0.2327777,0.051676422,-0.41046584,0.15541461,0.17090245,-0.10324083,0.26136315,0.369526,-0.07170371,-0.010626801,0.39788568,-0.49805787,0.21043378,-0.056317855,-0.28694123,-0.6701208,-0.2661467,0.19127075,0.26319346,-0.05869391,0.4972194,-0.14985886,0.5051127,0.24180898,0.268329,-0.27499294,-0.007483591,0.35520002,0.053583253,0.60340464,0.008114516,0.25535378,-0.29847166,0.2889015,-0.117310554,-0.14933498,-0.105565615,-0.3567013,0.5339825,0.40688476,-0.47497702,0.0015207558,0.13667183,-0.5283256,0.15773316,-0.03294772,-0.070424505,0.20179963,-0.04725355,0.065365575
P35250	0.680333,-0.6004742,-0.4245474,0.35176194,-0.22531056,0.24971665,0.109643154,0.27167428,-0.27347478,0.30820844,-0.04680523,-0.3950974,-0.42724553,0.0054872367,-0.19995938,0.01116452,-0.13800868,-0.06456799,0.4725009,-0.40830323,-0.40426418,0.26115242,-0.012314033,0.31154492,-0.2669983,-0.08215577,-0.1463045,-0.29350904,-0.22460881,0.39085883,0.14758493,-0.390317,0.22160295,0.43659666,-0.029210113,-0.31985295,0.27900946,-0.3883178,-0.36664546,0.2280958,0.29988018,0.6592612,-0.55549,0.06146804,-0.3450181,-0.49376044,-0.11744593,0.01444683,0.498727,0.6237459,-0.6106809,0.008487437,-0.24520862,0.52253973,0.79975075,0.032022405,-0.2286487,-0.21721691,-0.14492612,-0.016421942,0.43964118,0.16161084,0.08274066,-0.4408198,0.2250005,0.7656527,-0.4299738,-0.10520123,-0.438701,-0.10248765,0.08234914,0.030989293,-0.2587672,0.4976165,-0.21699366,-0.46178782,0.47792262,-0.60191035,-0.5604061,0.018253323,-0.45897248,0.40322217,-0.37865013,0.002636766,0.1640654,0.13464502,0.17519884,-0.0010330143,0.23069604,-0.0752829,-0.1881012,-0.19660752,0.16093333,-0.10104931,-0.13549028,0.87324864,0.050502744,-0.07575166,-0.05422363,0.24804588,0.097825825,-0.30680823,0.26206514,0.00018623422,-0.061529063,-0.090699926,-0.36710083,-0.21272473,-0.09910439,0.32911646,0.06984362,-0.076345734,0.082290806,0.16183631,0.07398428,0.2662571,0.032768864,-0.39278597,-0.91138256,0.7969874,0.39551088,0.03072804,-0.35826635,-0.103261404,-0.69144815,0.31444052,0.080603026,-0.25609443,0.11184269,0.15579659,0.4378598,0.08676213,0.5556077,-0.45132372,-0.0970417,-0.07926664,0.8177399,-0.10637507,0.16887441,0.05632466,0.10594111,-0.07036658,-0.58103585,0.35412437,-0.08073543,0.5879889,0.15048505,-0.24664244,-0.45394385,0.22962588,-0.09640471,0.36323175,0.08497461,-0.06373198,0.2803077,0.32407406,0.07456081,0.17604639,0.086086735,-0.07493301,-0.37805083,-0.15531494,-0.034913905,-0.0024365364,-0.23298815,-0.26827973,-0.038041722,0.38253796,-0.52884305,-0.14920962,0.6985123,-0.07447691,0.4586412,-0.0405942,0.70485073,0.103292175,0.14810915,0.05064936,-0.16399717,0.21375136,-0.14370897,0.1038304,-0.11391109,-0.019661292,-0.61284363,-0.33942953,0.2585782,0.54113173,0.4755307,0.9725034,-0.5782028,0.42510274,-0.24569596,-0.3968818,0.104294255,-0.34020388,0.4410984,0.16965008,0.26921403,0.18617143
P82673	0.31974223,-0.6920206,-0.26641804,0.034135163,0.30957222,0.33340734,0.36880293,0.09660812,-0.7711496,-0.6257817,0.43246078,-0.27918887,-0.523801,-0.8463171,-0.29926416,0.44556913,-0.8420541,-0.024859987,0.4872521,0.28943875,0.09067562,0.42169255,-0.24158026,0.025851458,-0.21016315,-1.1731219,0.14110163,-1.1865544,1.0487845,-0.26884317,-0.19991165,-0.0057094437,-0.38665676,-0.05762811,0.7171765,-0.56015795,-0.44409716,0.26303974,-0.46904936,0.41386676,-0.018168539,-0.07767781,-0.30998975,0.38829678,-0.14563586,0.20759223,-0.18121149,-0.91534364,-0.28779736,1.2257707,-0.27567095,-0.03115354,-0.27872482,-0.0017170518,0.112805106,-0.50173205,-0.40090716,-0.19904259,-0.34296024,-0.16707318,-0.1388505,-0.5809901,0.089301914,0.25518084,0.0074706194,0.091827914,-0.15043098,0.7970201,-0.062231284,0.01859704,-0.14307877,-0.2853867,-0.3702876,-0.02243559,-0.26171446,-0.16614859,0.42229646,-0.41852626,-0.5471701,-0.28759024,0.22310482,0.23557848,0.41323158,0.27354664,0.1949704,-0.25470036,0.13453932,0.72975266,-0.11274114,-0.34179366,0.390706,0.13149948,-0.22545992,-0.08452007,-0.45371625,0.48485518,0.52724725,0.13404518,0.06848873,-0.55385566,-0.042573746,0.11265168,-0.53344214,-0.40980104,-0.3776866,-0.2592988,-0.752632,0.31289798,0.0035864545,1.0757432,0.087487444,0.7272509,-0.34169996,0.37862334,-0.3712251,-0.1163954,0.6554953,-0.39512607,-1.1251801,0.10182361,-0.32240626,0.28055906,-0.58729476,0.09163412,0.022924084,0.41282228,-0.19861294,-0.09281746,0.25181913,-0.05462028,0.02899403,-0.732894,0.11236077,-0.641173,-0.1885913,0.020268384,-0.41741836,-0.30668616,0.24797826,0.725229,-0.20780012,-0.469573,-0.7934494,-0.5043423,0.10448066,0.21541531,0.08101837,-0.5994884,-0.32364002,1.0678366,0.3800191,0.6355741,0.2618041,-0.124954656,-0.07631436,0.007209833,-0.15765868,-0.31637794,-0.05733316,-0.14273189,-0.38448438,0.21202677,0.0048197852,0.54141,0.46765873,-0.30248663,-0.3340031,0.16822019,-0.26707962,0.15176646,-0.023729045,-0.08313566,0.05970984,0.7932464,0.36954424,-0.81033915,-0.8522259,0.23898028,-0.2711797,-0.07529372,0.38462323,0.16481796,-0.062171876,-0.4308145,0.37748566,-0.80622053,0.10677649,-0.12538402,0.47286502,-0.4116911,-0.052857507,0.43545553,0.32059777,-0.3246858,0.1798745,-0.23803416,0.1820514,0.27874178,-0.20200473,0.42594612
P43686	0.31191367,-0.6305248,0.35681126,0.25669238,-0.038817108,0.24559592,0.13805602,-0.13415524,0.09342061,-0.011901667,0.41264325,0.28660437,-0.12910101,-0.15303408,-0.042843133,0.5179984,-0.1383553,-0.44024736,0.5943614,-0.6789826,-0.63632196,0.16892344,0.3289382,0.42213652,-0.49879777,-0.087949276,-0.18143724,-0.057687335,-0.24130023,0.46834156,0.16565922,0.09027085,-0.19710472,0.29846972,-0.13567476,-0.6675663,-0.04168041,-0.28809714,-0.24851519,-0.023148874,0.48121887,0.4491377,0.037821434,0.33954835,-0.1298904,-0.9072123,-0.15129067,0.028981978,-0.13117816,0.80816895,-0.6510456,0.6892108,-0.21302667,0.41903487,-0.23121382,0.33824584,-0.1075252,-0.34124517,-0.39941376,-0.17664577,0.6273657,0.067388356,0.15241042,-0.31265968,0.3008899,0.8429515,0.072916664,-0.09706105,-0.6049925,-0.053698678,0.085932225,-0.11782998,0.053949837,0.8866873,-0.24348602,-0.42696342,0.107203335,-0.41048643,-0.49185425,0.0036334887,-0.21249035,0.2572103,-0.29515964,0.4029766,0.25496998,0.35743657,0.27819028,0.22091243,0.3036967,0.015576599,0.32150012,0.4295424,0.22887656,-0.2564382,0.22130093,1.2848151,-0.20259254,-0.4404276,-0.24276285,0.35023296,-0.17057782,0.17256333,-0.26321325,-0.41911945,-0.37341902,0.12785532,-0.2518055,-0.22177446,0.32688645,0.21828799,0.33026835,-0.23975666,0.5017735,0.17333859,-0.0029921345,0.29878363,-0.14616758,0.6043237,-0.6979838,0.8973529,0.16313104,0.09901095,-0.4793811,0.08179435,-0.44100806,-0.269673,-0.25425053,0.27500573,0.37794676,0.0952183,0.045787863,0.25760674,0.5304483,-0.40160847,0.101145744,-0.057207644,0.8340091,0.42024285,-0.31252795,0.20277569,0.45670465,0.2698597,-0.5150818,0.10950056,0.38455218,0.74329513,0.16036868,0.040485,-0.29739347,0.17130336,0.10760597,0.27218834,-0.0035269293,-0.09029431,0.15758273,0.24600352,0.057656024,0.1925774,-0.38415608,-0.13001342,-0.33958364,0.022736967,0.654455,-0.3795155,-0.63801926,-0.38517165,0.061785385,0.3605341,0.39428604,-0.23103476,0.56778896,-0.18541658,0.37870663,0.046350516,0.17070867,-0.23521005,0.04970051,0.28091764,-0.072873205,0.6007154,-0.15392092,-0.26283497,0.13437526,0.13120581,-0.15389381,-0.36876214,-0.013120669,-0.15606599,0.49637753,0.58370805,-0.040019363,-0.3693025,-0.41082013,-0.06013939,0.33357525,-0.17279787,-0.0030025225,-0.24098445,0.18200733,0.3546952
O95168	0.2843956,-0.87814844,-0.54315215,-0.08125622,0.25648117,0.6544809,0.19680348,-0.018340014,0.1316367,-0.11146264,0.17164807,0.14777306,-0.039468557,-0.5096556,-0.0052798656,0.35084936,-0.43925768,-0.42419744,0.19957134,0.38250336,-0.46406454,0.20016563,-0.3282615,0.47516948,0.7114207,-0.77864677,-0.11325036,-0.47778893,-0.0061314898,-0.46082163,-0.2842143,0.004440892,-0.67740846,-0.0042652497,0.70634764,-0.25992593,-0.5335876,0.16158712,0.3127578,0.749224,0.36988977,0.5329806,-0.8170255,0.14557771,0.2923134,0.035275385,-0.31577834,-0.52872133,0.026077166,0.8263946,-0.37310502,-0.06577621,-0.6805176,0.017631205,0.35889217,0.04062217,-0.3535484,-0.11787733,0.25995448,-0.3218473,0.13683833,-0.609542,0.08729176,-0.2588199,-0.14206782,0.52138555,0.33742127,0.39185885,-0.1199274,0.5143856,0.15430738,-0.51287276,-0.18717422,0.67363304,-0.45116496,-0.35257038,-0.17874992,-0.32975066,-0.19852744,-0.6705313,0.37465796,-0.2813913,-0.39037412,0.5946499,0.003718507,-0.06899497,0.3519024,0.04364321,0.14741263,-0.037699733,0.8352015,0.2833195,-0.03579163,-0.11142709,-0.39226806,0.65564156,0.2323586,-0.013242907,0.21346143,-0.700335,-0.27838957,-0.20022279,-0.45261768,0.021801703,-0.31881604,0.5379048,-0.33825922,0.3528026,0.07011275,-0.0856741,0.5436432,0.53948706,-0.38995153,0.18537092,-0.8284497,-0.49129364,0.21859232,0.34785348,-0.27927864,0.4540447,-0.20449348,0.28958237,-0.4829042,-0.07023277,-0.0033833832,0.52407783,0.15003438,-0.1498664,0.63699704,0.39722878,0.024330614,-0.7968684,0.60731804,-0.31263295,0.5736272,-0.13475475,-0.37447023,-0.37966025,0.073970295,0.08770854,0.60881007,-0.46877557,-0.21738893,0.23185456,-0.47340468,0.14679524,0.4099936,0.14749943,0.14028281,0.35544533,-0.5314772,0.2504028,0.09171838,-0.46821675,-0.2611326,0.4297999,-0.20910604,0.72554255,0.4328636,-0.6308868,0.21391061,0.2901106,0.06338767,0.49420512,0.29403624,-0.6058193,-0.38414764,-0.14588366,0.033448998,0.7083004,0.11986009,-0.36008167,0.12975107,0.29869634,-0.4637567,-0.025378527,-0.3760206,0.052217387,-0.13489886,0.1869137,0.029938666,-0.26036853,-0.28436932,0.3958721,-0.07704806,-0.63218266,0.22059837,0.10781002,0.8126472,0.3759137,-1.0459818,0.8871403,-0.16391341,-0.698489,0.06514726,-0.12707569,0.64939606,-0.37191197,-0.4596301,0.19319059
